nameWithOwner,createdAt,stargazerCount,pullRequestsMerged,releasesTotal,updatedAt,primaryLanguage,issuesTotal,issuesClosed
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,472904,155,0,2026-03-06T23:36:25Z,Markdown,888,653
sindresorhus/awesome,2014-07-11T13:42:37Z,443130,694,0,2026-03-06T23:44:27Z,,365,349
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,437843,27781,0,2026-03-06T23:35:43Z,TypeScript,21157,20983
public-apis/public-apis,2016-03-20T23:49:42Z,404792,1872,0,2026-03-06T23:35:45Z,Python,839,833
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,383681,7333,0,2026-03-06T23:35:53Z,Python,1264,1228
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,350330,4077,1,2026-03-06T23:36:05Z,TypeScript,3087,3056
jwasham/coding-interview-university,2016-06-06T02:34:12Z,337641,415,0,2026-03-06T23:37:29Z,,525,454
donnemartin/system-design-primer,2017-02-26T16:15:28Z,337639,203,0,2026-03-06T23:20:20Z,Python,360,110
vinta/awesome-python,2014-06-27T21:00:06Z,285912,641,0,2026-03-06T23:26:42Z,Python,0,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,278008,2395,1,2026-03-06T23:45:29Z,,807,807
996icu/996.ICU,2019-03-26T07:31:14Z,275670,1072,0,2026-03-06T21:27:35Z,,0,0
openclaw/openclaw,2025-11-24T10:16:47Z,270870,2805,59,2026-03-06T23:45:57Z,TypeScript,15757,10148
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,260390,182,0,2026-03-06T23:44:34Z,,227,82
facebook/react,2013-05-24T16:15:54Z,243682,12774,118,2026-03-06T23:00:45Z,JavaScript,14388,13577
torvalds/linux,2011-09-04T22:48:12Z,221222,0,0,2026-03-06T23:40:24Z,C,0,0
TheAlgorithms/Python,2016-07-16T09:44:01Z,218396,3046,0,2026-03-06T21:28:52Z,Python,1702,1540
vuejs/vue,2013-07-29T03:24:51Z,209961,1136,249,2026-03-06T22:25:08Z,TypeScript,10028,9669
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,208951,122,0,2026-03-06T23:44:59Z,,0,0
ossu/computer-science,2014-05-04T00:18:39Z,202182,305,0,2026-03-06T23:37:17Z,HTML,666,654
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,195748,304,0,2026-03-06T23:37:22Z,JavaScript,372,234
tensorflow/tensorflow,2015-11-07T01:19:20Z,194017,42339,222,2026-03-06T22:49:13Z,C++,41197,40303
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,185150,3517,0,2026-03-06T23:14:54Z,Shell,5034,4892
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184467,370,0,2026-03-06T23:37:32Z,,949,949
CyC2018/CS-Notes,2018-02-13T14:56:24Z,183827,374,0,2026-03-06T19:17:14Z,,578,449
microsoft/vscode,2015-09-03T20:23:38Z,182368,43393,197,2026-03-06T23:38:30Z,TypeScript,232368,218883
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,182229,3982,94,2026-03-06T23:24:18Z,Python,3740,3509
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,179331,13,0,2026-03-06T18:51:38Z,Jupyter Notebook,711,188
n8n-io/n8n,2019-06-22T09:24:21Z,177922,14137,548,2026-03-06T23:32:57Z,TypeScript,8231,7764
flutter/flutter,2015-03-06T22:54:58Z,175453,46950,7,2026-03-06T23:27:50Z,Dart,112465,100299
twbs/bootstrap,2011-07-29T21:19:00Z,174028,9116,94,2026-03-06T20:16:40Z,MDX,22848,22459
github/gitignore,2010-11-08T20:17:14Z,172866,1727,0,2026-03-06T23:38:01Z,,0,0
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,167904,5,29,2026-03-06T23:39:42Z,Batchfile,908,906
avelino/awesome-go,2014-07-06T13:42:15Z,166730,3610,0,2026-03-06T23:21:33Z,Go,727,713
ollama/ollama,2023-06-26T19:39:32Z,164293,3076,189,2026-03-06T23:40:41Z,Go,9500,7505
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,161523,1884,27,2026-03-06T19:54:57Z,Python,7888,5487
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,160125,317,0,2026-03-06T23:07:43Z,,258,136
huggingface/transformers,2018-10-29T13:56:00Z,157501,18746,244,2026-03-06T23:32:18Z,Python,18673,17592
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,154083,1213,0,2026-03-06T20:53:36Z,Java,1132,1057
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,150996,1,0,2026-03-06T23:19:06Z,HTML,0,0
f/prompts.chat,2022-12-05T13:54:13Z,150371,201,0,2026-03-06T23:35:42Z,HTML,131,128
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,149929,3229,131,2026-03-06T23:44:11Z,Python,11129,9307
airbnb/javascript,2012-11-01T23:13:50Z,148100,813,0,2026-03-06T23:38:37Z,JavaScript,1404,1301
langflow-ai/langflow,2023-02-08T22:28:03Z,145326,5799,285,2026-03-06T23:32:04Z,Python,3165,2824
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,145033,17,63,2026-03-06T23:21:33Z,Python,2964,2681
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,139807,1646,341,2026-03-06T21:34:53Z,Python,26819,23190
vercel/next.js,2016-10-05T23:32:51Z,138188,26157,1000,2026-03-06T23:26:41Z,JavaScript,24316,22265
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,138012,486,0,2026-03-06T22:25:32Z,TypeScript,121,77
Genymobile/scrcpy,2017-11-21T18:00:27Z,136588,123,50,2026-03-06T23:02:58Z,C,5960,3285
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,132935,244,0,2026-03-06T21:03:56Z,Markdown,963,962
golang/go,2014-08-19T04:33:40Z,132923,1,0,2026-03-06T23:36:13Z,Go,70435,61001
langgenius/dify,2023-04-12T07:40:24Z,131479,9733,158,2026-03-06T23:26:56Z,TypeScript,16755,16359
microsoft/PowerToys,2019-05-01T17:44:02Z,130266,6351,127,2026-03-06T23:40:05Z,C#,38261,30173
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,128993,46,0,2026-03-06T23:45:15Z,,189,108
langchain-ai/langchain,2022-10-17T02:58:36Z,128483,16047,1000,2026-03-06T23:35:08Z,Python,9120,8874
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,126970,836,12,2026-03-06T23:13:13Z,JavaScript,300,300
open-webui/open-webui,2023-10-06T22:08:27Z,126000,3332,152,2026-03-06T23:43:50Z,Python,7815,7635
facebook/react-native,2015-01-09T18:10:16Z,125510,958,445,2026-03-06T23:13:12Z,C++,27580,26830
krahets/hello-algo,2022-11-04T11:08:34Z,122715,968,10,2026-03-06T21:24:27Z,Java,282,274
kubernetes/kubernetes,2014-06-06T22:56:04Z,120964,64027,784,2026-03-06T23:39:58Z,Go,48637,46792
electron/electron,2013-04-12T01:47:36Z,120341,24562,1000,2026-03-06T21:39:50Z,C++,21479,20742
ripienaar/free-for-dev,2015-03-18T21:06:26Z,118736,2900,0,2026-03-06T23:40:57Z,HTML,0,0
excalidraw/excalidraw,2020-01-02T01:04:43Z,118153,3842,14,2026-03-06T23:30:04Z,TypeScript,4647,2562
anomalyco/opencode,2025-04-30T20:08:00Z,117350,2599,730,2026-03-06T23:42:36Z,TypeScript,9889,5125
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,116409,282,3,2026-03-06T21:40:09Z,,0,0
nodejs/node,2014-11-26T19:57:11Z,116108,11898,486,2026-03-06T22:09:08Z,JavaScript,20093,18336
iptv-org/iptv,2018-11-14T22:00:57Z,112495,6822,0,2026-03-06T23:44:23Z,TypeScript,21755,21451
d3/d3,2010-09-27T17:22:42Z,112473,494,194,2026-03-06T22:25:13Z,Shell,2239,2229
mrdoob/three.js,2010-03-23T18:58:01Z,111202,15237,175,2026-03-06T23:21:03Z,JavaScript,13508,13066
rust-lang/rust,2010-06-16T20:39:03Z,110974,69578,147,2026-03-06T23:25:09Z,Rust,61616,50479
rustdesk/rustdesk,2020-09-28T15:36:08Z,108773,3946,36,2026-03-06T23:38:36Z,Rust,4002,3941
axios/axios,2014-08-18T22:30:27Z,108588,1136,109,2026-03-06T21:51:05Z,JavaScript,4959,4758
microsoft/TypeScript,2014-06-17T15:28:39Z,108035,14857,215,2026-03-06T22:38:12Z,TypeScript,42960,37983
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,107858,34,0,2026-03-06T23:11:44Z,,0,0
shadcn-ui/ui,2023-01-04T12:43:27Z,107858,1015,76,2026-03-06T23:30:32Z,TypeScript,3932,2953
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,107612,542,0,2026-03-06T23:34:23Z,Jupyter Notebook,208,206
godotengine/godot,2014-01-04T16:05:36Z,107438,41454,66,2026-03-06T22:31:58Z,C++,61291,48308
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,106623,0,0,2026-03-06T19:58:37Z,Java,343,162
denoland/deno,2018-05-15T01:34:26Z,106314,14310,368,2026-03-06T22:23:22Z,Rust,13957,11608
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,105151,766,0,2026-03-06T20:13:36Z,Dockerfile,335,286
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,105046,2218,125,2026-03-06T23:34:13Z,Python,7972,4514
fatedier/frp,2015-12-21T15:24:59Z,104934,745,109,2026-03-06T22:22:48Z,Go,4061,4023
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,103862,439,0,2026-03-06T23:13:58Z,Shell,248,246
facebook/create-react-app,2016-07-17T14:55:11Z,103825,1949,83,2026-03-06T21:40:30Z,JavaScript,8422,6574
tauri-apps/tauri,2019-07-13T09:09:37Z,103710,5401,0,2026-03-06T23:30:34Z,Rust,6170,4912
microsoft/terminal,2017-08-11T18:38:22Z,102043,4379,148,2026-03-06T23:40:43Z,C++,13819,12169
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,101915,25,1,2026-03-06T23:12:55Z,Python,726,680
