primaryLanguage,count,median_prs_merged,median_releases,median_days_since_update,median_stars
Python,201,621.0,23.0,6.0,42778.0
TypeScript,160,2588.0,158.0,6.0,42240.5
JavaScript,114,589.5,40.5,6.0,45013.5
Unknown,96,129.0,0.0,6.0,47529.0
Go,76,1508.0,131.0,6.0,39849.0
Rust,54,2371.0,76.0,6.0,41501.5
Java,47,605.0,42.0,6.0,37352.0
C++,46,982.5,63.5,6.0,39746.0
C,25,145.0,39.0,6.0,34965.0
Jupyter Notebook,23,88.0,0.0,6.0,45862.0
Shell,21,494.0,28.0,6.0,50245.0
HTML,18,310.0,0.0,6.0,39690.0
Ruby,12,4770.0,14.5,6.0,46691.5
C#,11,5179.0,120.0,6.0,42281.0
Kotlin,10,399.5,53.5,6.0,43531.5
CSS,8,440.0,13.0,6.5,47687.5
Swift,7,433.0,47.0,6.0,36839.0
PHP,7,5799.0,603.0,6.0,34263.0
Vue,7,311.0,43.0,6.0,37388.0
Dart,6,574.5,33.5,6.0,63807.0
MDX,5,350.0,0.0,6.0,43872.0
Markdown,5,370.0,6.0,6.0,61557.0
Vim Script,4,309.5,4.0,6.0,37771.5
Clojure,4,4322.0,110.5,6.0,45464.0
Dockerfile,3,614.0,1.0,6.0,98562.0
Makefile,3,94.0,0.0,6.0,35603.0
Zig,3,7177.0,21.0,6.0,45599.0
TeX,2,19.0,3.5,6.0,35282.0
Svelte,2,386.5,92.0,6.0,39718.5
Scala,2,5.5,0.0,6.0,57892.0
Assembly,2,196.0,0.0,6.0,48201.0
Haskell,2,1045.5,91.5,6.0,40745.0
Nunjucks,2,929.0,0.0,6.0,50427.0
PowerShell,2,563.5,28.5,6.0,44678.5
Lua,2,3383.0,72.5,6.0,36297.0
Elixir,1,897.0,12.0,6.0,34027.0
Blade,1,1670.0,211.0,6.0,83912.0
Batchfile,1,5.0,29.0,6.0,167904.0
Julia,1,26892.0,195.0,6.0,48543.0
Objective-C,1,710.0,40.0,7.0,33689.0
LLVM,1,75558.0,149.0,6.0,37248.0
Roff,1,1.0,0.0,6.0,65600.0
V,1,13080.0,302.0,6.0,37477.0
